address,name,online_order,book_table,rate,rating_clean,votes,location,location_clean,rest_type,primary_rest_type,dish_liked,cuisines,primary_cuisine,approx_cost(for two people),cost_for_two,listed_in(type),listed_in(city),city_clean
"The Lark Hotel, Hosur Main Road, Bommasandra Industrial Area, Electronic City, Bangalore",On The Rock,No,No,,3.7,0,Electronic City,Electronic City,Casual Dining,Casual Dining,,"North Indian, Chinese",North Indian,"1,000",1000,Dine-out,Electronic City,Electronic City
"5 and 6, Ground Floor, Site 16, Green Garden Layout, Munnekolala, Marathahalli, Bangalore",Deccan Spice,No,No,3.4/5,3.4,10,Marathahalli,Marathahalli,"Takeaway, Delivery",Takeaway,,"Andhra, North Indian",Andhra,600,600,Delivery,Brookefield,Brookefield
"Lower Ground Floor, Ascendas Park Square Mall, Whitefield, Bangalore",Cafesta,Yes,No,4.3/5,4.3,559,Whitefield,Whitefield,Cafe,Cafe,"Burgers, Waffles, Coffee, Chocolava, Pasta, Chocolate Cake, Brownie","Cafe, Italian, Fast Food, Desserts",Cafe,550,550,Delivery,Brookefield,Brookefield
"1461, Near 14th Cross, Above MedPlus, Ananth Nagar, Phase 2, Electronic City, Bangalore",This Cafe Has No Name Cafe,Yes,No,3.2/5,3.2,79,Electronic City,Electronic City,Cafe,Cafe,"Sandwiches, Rolls, Coffee, Burgers, French Fries","Cafe, Beverages",Cafe,500,500,Dine-out,Electronic City,Electronic City
"177/90, Near Velankani Tech Park, Velankani Road, Dodda Thogur, Phase 1, Electronic City, Bangalore",FreshMenu,Yes,No,3.0/5,3,546,South Bangalore,South Bangalore,Delivery,Delivery,"Burgers, Salads, Lamb Burger, Noodles, Fish, Sandwich, Cheese Burger","Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger",Healthy Food,450,450,Delivery,Electronic City,Electronic City
"2nd &3rd Floor, 1 MG Mall, MG Road, Bangalore",Smaaash,No,Yes,4.2/5,4.2,538,MG Road,Mg Road,"Casual Dining, Pub",Casual Dining,"Pizza, Nachos, Draught Beer, Pasta, Potli Biryani, Mojito, Long Island Iced Tea","North Indian, Pizza, Chinese",North Indian,"1,500",1500,Dine-out,Brigade Road,Brigade Road
"105, 1st A Cross Road, Jyothi Nivas College Road, Koramangala 5th Block, Bangalore",The Black Pearl,No,Yes,4.7/5,4.7,10413,Koramangala 5th Block,Koramangala 5Th Block,"Casual Dining, Bar",Casual Dining,"Chocolate Lollipop, Chocolate Biscuit, Fire Shots, Sangria, Chocolate Ganache, Paneer Makhani, Corn Fry","North Indian, European, Mediterranean",North Indian,"1,400",1400,Buffet,BTM,Btm
"1/5, Royal Corner, Lalbagh Road, Double Road Junction, Shanti Nagar Area, Shanti Nagar, Bangalore",Shyvan Restaurant,Yes,No,3.6/5,3.6,82,Shanti Nagar,Shanti Nagar,Casual Dining,Casual Dining,"Mutton Biryani, Noodles, Butter Chicken, Naan, Panneer Butter Masala","North Indian, Chinese",North Indian,500,500,Delivery,Brigade Road,Brigade Road
"523, 33rd Cross, Jayanagar, Bangalore",Brew Meister,Yes,Yes,4.1/5,4.1,970,Jayanagar,Jayanagar,"Microbrewery, Casual Dining",Microbrewery,"Cocktails, Pasta, Paneer Tikka, Mocktails, Wheat Beer, Corn Paratha, Misal Pav","North Indian, Continental, Finger Food, American, Asian",North Indian,"1,500",1500,Delivery,Banashankari,Banashankari
"Opposite IIMB, Krishnaraju Layout, Sundar Ram Shetty Nagar, Bilekahalli Bannerghatta Road, Bangalore",Antilla Aromas,Yes,No,3.7/5,3.7,20,Bannerghatta Road,Bannerghatta Road,Dessert Parlor,Dessert Parlor,,"Desserts, Ice Cream",Desserts,300,300,Delivery,BTM,Btm
